Facility/Operator,Location,Year,Quarter,Gamma Radiation,Reported Unit,Comment
West Valley Site,Fence Line at Waste Area,2003,3rd,396.7,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
Nine Mile Point Site,County Route 29 & Miner Road,2007,3rd,18.2,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2011,4th,799,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Fence Line at Waste Area,2008,3rd,814.2,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Rock Spring Road,2005,3rd,31.2,mrem/quarter,
Indian Point, Broadway & Bleakly,2015,1st,11,mrem/quarter,
Indian Point, Broadway & Bleakly,1996,1st,12.7,mrem/quarter,
Indian Point, NYU Tower,2001,3rd,,mrem/quarter,sample missing
West Valley Site,Thomas Corner Road-Emerson Farm,2000,2nd,13.1,mrem/quarter,
Ginna Station,Webster Sub-Station,1995,2nd,10.4,mrem/quarter,
West Valley Site,Dutch Hill Road,2001,4th,16.7,mrem/quarter,
West Valley Site,Rock Spring Road,2007,1st,42.7,mrem/quarter,
Background,Capital District,2012,1st,18,mrem/quarter,
Nine Mile Point Site,Lakeview Road,1999,2nd,13.2,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2000,1st,16.4,mrem/quarter,
West Valley Site,Fox Valley Road,1996,3rd,14.3,mrem/quarter,
Indian Point, NYU Tower,2009,2nd,18.5,mrem/quarter,
Indian Point, NYU Tower,2013,4th,24,mrem/quarter,
West Valley Site,Thomas Corner Road,2006,1st,26.5,mrem/quarter,
Indian Point, Factory St. Sub-Station,2013,4th,21,mrem/quarter,
Indian Point, Factory St. Sub-Station,2000,3rd,19.3,mrem/quarter,
Indian Point, NYU Tower,2005,3rd,24.7,mrem/quarter,
Ginna Station,Training Center,2005,3rd,18.9,mrem/quarter,
West Valley Site,Springville- Erie County,2005,3rd,,mrem/quarter,Sample missing
Nine Mile Point Site,Site Meteorological Tower,1995,4th,11.8,mrem/quarter,
West Valley Site,Heinz Road,2001,2nd,12.3,mrem/quarter,
West Valley Site,Rock Spring Road,1999,1st,19.2,mrem/quarter,
Background,Capital District,2008,2nd,22,mrem/quarter,
West Valley Site,Springville- Erie County,1995,1st,,mrem/quarter,Sample missing
Nine Mile Point Site,Site Meteorological Tower,2007,1st,9.8,mrem/quarter,
Background,Capital District,2006,3rd,23.8,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,1995,2nd,10.1,mrem/quarter,
West Valley Site,Fox Valley Road,2009,2nd,26.1,mrem/quarter,
West Valley Site,Dutch Hill Road,2008,2nd,28,mrem/quarter,
West Valley Site,Heinz Road,2004,2nd,21.6,mrem/quarter,discontinued use of in-house system; more sensitive devices in use from commercial vendor
West Valley Site,Heinz Road,2003,4th,16.7,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2010,1st,19,mrem/quarter,
West Valley Site,Fox Valley Road,2002,4th,16.2,mrem/quarter,
Background,Capital District,2009,2nd,21.6,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Laurel Ridge,1995,2nd,15.8,mrem/quarter,
Ginna Station,Webster Sub-Station,2003,2nd,12.9,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Long Meadow Road,1996,4th,17.4,mrem/quarter,
Ginna Station,Webster Sub-Station,2013,1st,,mrem/quarter,
Ginna Station,Training Center,2012,1st,14,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2003,1st,16.3,mrem/quarter,
West Valley Site,Fox Valley Road,2005,2nd,27.6,mrem/quarter,
West Valley Site,Fox Valley Road,1998,2nd,14.8,mrem/quarter,
Indian Point, NYU Tower,2009,3rd,28,mrem/quarter,change in TLD vendor
Background,Capital District,2009,4th,25,mrem/quarter,
Ginna Station,Webster Sub-Station,2000,1st,14.7,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2012,3rd,18,mrem/quarter,
Nine Mile Point Site,Lakeview Road,1996,2nd,11.1,mrem/quarter,
Ginna Station,Webster Sub-Station,2012,2nd,13,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2011,3rd,25,mrem/quarter,
Ginna Station,Training Center,2000,2nd,12.3,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2004,4th,747.9,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Fence Line at Waste Area,1995,2nd,405.8,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Dutch Hill Road,2000,3rd,19.7,mrem/quarter,
Ginna Station,Training Center,2007,3rd,27.8,mrem/quarter,
West Valley Site,Rock Spring Road,1997,3rd,17.8,mrem/quarter,
West Valley Site,Heinz Road,1998,2nd,13.2,mrem/quarter,
Indian Point, NYU Tower,1997,4th,13.5,mrem/quarter,
Indian Point, Broadway & Bleakly,2010,3rd,,mrem/quarter,sample missing
Indian Point, Factory St. Sub-Station,1999,1st,,mrem/quarter,sample missing
West Valley Site,Fox Valley Road,2003,2nd,12.9,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,1997,3rd,12.6,mrem/quarter,
Ginna Station,Parking Lot,2001,2nd,10.3,mrem/quarter,
Indian Point, Broadway & Bleakly,2004,4th,19.9,mrem/quarter,
Ginna Station,Webster Sub-Station,2003,4th,14.5,mrem/quarter,
West Valley Site,Thomas Corner Road,1996,1st,16.8,mrem/quarter,
Indian Point, Broadway & Bleakly,1999,2nd,12.2,mrem/quarter,
Ginna Station,Webster Sub-Station,2014,2nd,,mrem/quarter,
West Valley Site,Heinz Road,2003,1st,14.7,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,1995,4th,14.2,mrem/quarter,
West Valley Site,Heinz Road,2006,3rd,23.6,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2003,4th,18.2,mrem/quarter,
Indian Point, NYU Tower,2010,2nd,19,mrem/quarter,
West Valley Site,Thomas Corner Road,2007,1st,21.9,mrem/quarter,
Ginna Station,Webster Sub-Station,2003,1st,12.7,mrem/quarter,
Ginna Station,Parking Lot,2007,3rd,20.7,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2010,4th,11,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2004,1st,16.6,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,1999,2nd,10.5,mrem/quarter,
West Valley Site,Fence Line at Waste Area,1995,4th,569.1,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
Nine Mile Point Site,Site Meteorological Tower,2008,1st,15.2,mrem/quarter,
Nine Mile Point Site,Lakeview Road,1998,1st,15.1,mrem/quarter,
Ginna Station,Webster Sub-Station,2000,4th,12,mrem/quarter,
Background,Capital District,2004,2nd,20.8,mrem/quarter,discontinued use of in-house system; more sensitive devices in use from commercial vendor
West Valley Site,Rock Spring Road,2008,3rd,26.7,mrem/quarter,
West Valley Site,Springville- Erie County,2003,2nd,16.4,mrem/quarter,
West Valley Site,Fox Valley Road,2000,2nd,14.7,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2001,1st,11.6,mrem/quarter,
Indian Point, Broadway & Bleakly,1999,3rd,13.8,mrem/quarter,
Background,Capital District,2004,3rd,21.4,mrem/quarter,
Indian Point, Factory St. Sub-Station,2000,4th,11.6,mrem/quarter,
West Valley Site,Rock Spring Road,2005,2nd,28.5,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,1995,4th,14.3,mrem/quarter,
Ginna Station,Parking Lot,2010,1st,20,mrem/quarter,
Ginna Station,Webster Sub-Station,1999,1st,13.6,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2005,3rd,20.3,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2007,4th,26.6,mrem/quarter,
Ginna Station,Parking Lot,2008,1st,14.8,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2002,3rd,11.5,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,1998,1st,13.7,mrem/quarter,
Indian Point, NYU Tower,2007,3rd,20.7,mrem/quarter,
Ginna Station,Training Center,2001,3rd,11.5,mrem/quarter,
West Valley Site,Rock Spring Road,2009,1st,24.1,mrem/quarter,
West Valley Site,Fox Valley Road,2009,3rd,25,mrem/quarter,change in TLD vendor
West Valley Site,Thomas Corner Road-Emerson Farm,2008,2nd,26.8,mrem/quarter,
Indian Point, Factory St. Sub-Station,1996,2nd,,mrem/quarter,sample missing
Nine Mile Point Site,County Route 29 and 1A,2012,1st,14,mrem/quarter,
West Valley Site,Thomas Corner Road,2003,3rd,13.7,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Air Sampler North of Plant,1995,1st,14.3,mrem/quarter,
Ginna Station,Webster Sub-Station,2006,4th,19,mrem/quarter,
West Valley Site,Fox Valley Road,2007,3rd,30.5,mrem/quarter,
West Valley Site,Springville- Erie County,1997,4th,19.3,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2007,4th,31.7,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2006,2nd,19.7,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,1995,2nd,11.9,mrem/quarter,
Indian Point, Factory St. Sub-Station,2009,1st,23.8,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2011,3rd,24,mrem/quarter,
West Valley Site,Dutch Hill Road,2011,3rd,24,mrem/quarter,
Indian Point, Broadway & Bleakly,2002,3rd,12.4,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2005,2nd,29.3,mrem/quarter,
West Valley Site,Springville- Erie County,2006,3rd,27,mrem/quarter,
Indian Point, NYU Tower,2004,1st,15,mrem/quarter,
Indian Point, Factory St. Sub-Station,1998,4th,16.4,mrem/quarter,
West Valley Site,Rock Spring Road,2003,1st,16.7,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2001,4th,15.7,mrem/quarter,
West Valley Site,Heinz Road,2004,1st,19.1,mrem/quarter,
Indian Point, Factory St. Sub-Station,2004,4th,,mrem/quarter,sample missing
Ginna Station,Training Center,2009,4th,20,mrem/quarter,
West Valley Site,Fence Line at Waste Area,1997,2nd,345.1,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Route 240 Zefer's Farm,2010,2nd,26,mrem/quarter,
Indian Point, Broadway & Bleakly,2001,2nd,12.4,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2011,4th,30,mrem/quarter,
West Valley Site,Rock Spring Road,2008,1st,23.1,mrem/quarter,
West Valley Site,Springville- Erie County,2010,4th,17,mrem/quarter,
Background,Capital District,1995,2nd,12.3,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2004,1st,18.6,mrem/quarter,
West Valley Site,Thomas Corner Road,1995,2nd,14,mrem/quarter,
Indian Point, NYU Tower,2007,1st,10.3,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,1995,4th,12.2,mrem/quarter,
West Valley Site,Springville- Erie County,2004,4th,28.9,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Maintenance Garage,1996,2nd,13.2,mrem/quarter,
Indian Point, NYU Tower,1998,4th,16.5,mrem/quarter,
Ginna Station,Parking Lot,1995,1st,14.8,mrem/quarter,
West Valley Site,Thomas Corner Road,2009,1st,23.1,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Air Sampler North of Plant,1996,1st,12.7,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2012,3rd,19,mrem/quarter,
Ginna Station,Webster Sub-Station,2005,2nd,22.9,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Laurel Ridge,1995,1st,16.6,mrem/quarter,
Indian Point, NYU Tower,2005,2nd,23.5,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,1999,2nd,13.7,mrem/quarter,
Indian Point, Factory St. Sub-Station,2004,2nd,21.8,mrem/quarter,discontinued use of in-house system; more sensitive devices in use from commercial vendor
West Valley Site,Heinz Road,2005,4th,26.2,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2002,2nd,15,mrem/quarter,
West Valley Site,Thomas Corner Road,2009,4th,22,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2009,1st,19.3,mrem/quarter,
Ginna Station,Training Center,2005,1st,24.4,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2011,1st,1094,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Fence Line at Waste Area,2016,4th,734,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2011,3rd,539,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
Indian Point, Factory St. Sub-Station,2015,3rd,,mrem/quarter,
Indian Point, Factory St. Sub-Station,2011,2nd,16,mrem/quarter,change in TLD vendor; midway through quarter
West Valley Site,Thomas Corner Road-Emerson Farm,2009,3rd,26,mrem/quarter,change in TLD vendor
West Valley Site,Heinz Road,2010,1st,23,mrem/quarter,
Indian Point, Broadway & Bleakly,2004,3rd,,mrem/quarter,sample missing
West Valley Site,Fence Line at Waste Area,1997,4th,475.2,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Rock Spring Road,2002,2nd,13.6,mrem/quarter,
Indian Point, Broadway & Bleakly,2007,1st,15.1,mrem/quarter,
Indian Point, NYU Tower,2000,4th,12.9,mrem/quarter,
Ginna Station,Parking Lot,2003,3rd,12.3,mrem/quarter,
"Shoreham, Suffolk County",Defence Hill Road,1995,4th,12,mrem/quarter,monitor discontinued at end of 1995
West Valley Site,Route 240 Zefer's Farm,2010,1st,22,mrem/quarter,
West Valley Site,Dutch Hill Road,2002,4th,17.9,mrem/quarter,
West Valley Site,Rock Spring Road,1996,3rd,18.5,mrem/quarter,
Indian Point, NYU Tower,2000,2nd,13.1,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2003,4th,12.9,mrem/quarter,
West Valley Site,Dutch Hill Road,2005,1st,17.8,mrem/quarter,
West Valley Site,Heinz Road,2001,1st,15.6,mrem/quarter,
West Valley Site,Heinz Road,2011,4th,28,mrem/quarter,
Indian Point, NYU Tower,2001,2nd,,mrem/quarter,sample missing
West Valley Site,Dutch Hill Road,2008,4th,25,mrem/quarter,
West Valley Site,Fox Valley Road,2001,2nd,12.7,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,1996,1st,15,mrem/quarter,
West Valley Site,Fox Valley Road,2005,4th,24.9,mrem/quarter,
Indian Point, NYU Tower,2001,1st,15.2,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2002,3rd,428.8,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Fox Valley Road,1997,2nd,16.2,mrem/quarter,
Ginna Station,Training Center,2003,2nd,13.3,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2002,4th,14.7,mrem/quarter,
Nine Mile Point Site,Lakeview Road,1998,3rd,15.7,mrem/quarter,
Ginna Station,Training Center,2014,4th,14,mrem/quarter,
Indian Point, Factory St. Sub-Station,2003,2nd,12.7,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2005,2nd,734.3,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
"Cintichem, Tuxedo, Orange County",Long Meadow Road,1997,2nd,14.4,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2010,4th,11,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2013,3rd,,mrem/quarter,sample missing at collection time
Background,Capital District,2001,1st,16.7,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2011,3rd,25,mrem/quarter,
West Valley Site,Fox Valley Road,2006,3rd,25.3,mrem/quarter,
Indian Point, Factory St. Sub-Station,2011,1st,29,mrem/quarter,
Indian Point, NYU Tower,2010,1st,23,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2006,4th,19.9,mrem/quarter,
Indian Point, Factory St. Sub-Station,1998,1st,14,mrem/quarter,
Ginna Station,Parking Lot,2013,4th,13,mrem/quarter,
West Valley Site,Springville- Erie County,2001,4th,15.1,mrem/quarter,
West Valley Site,Fox Valley Road,2011,2nd,16,mrem/quarter,
West Valley Site,Thomas Corner Road,2005,3rd,27.8,mrem/quarter,
Ginna Station,Webster Sub-Station,1997,4th,12.9,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,1995,2nd,13,mrem/quarter,
Indian Point, NYU Tower,2007,2nd,16.6,mrem/quarter,
Ginna Station,Training Center,2016,4th,,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2011,2nd,17,mrem/quarter,change in TLD vendor; midway through quarter
West Valley Site,Heinz Road,2000,2nd,13.6,mrem/quarter,
West Valley Site,Fox Valley Road,2012,1st,14,mrem/quarter,
Ginna Station,Training Center,2005,2nd,24.7,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2014,2nd,,mrem/quarter,
Nine Mile Point Site,Lakeview Road,1999,3rd,13.5,mrem/quarter,
West Valley Site,Fence Line at Waste Area,1995,1st,477.5,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Springville- Erie County,1997,3rd,13.4,mrem/quarter,
West Valley Site,Springville- Erie County,1996,4th,17.8,mrem/quarter,
Background,Capital District,1998,2nd,,mrem/quarter,sample missing
West Valley Site,Heinz Road,2011,3rd,25,mrem/quarter,
Ginna Station,Parking Lot,2005,1st,19.8,mrem/quarter,
Indian Point, Broadway & Bleakly,2007,4th,27.4,mrem/quarter,
West Valley Site,Fence Line at Waste Area,1997,3rd,465,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
Nine Mile Point Site,Lakeview Road,2014,1st,14,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,1997,4th,15.3,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2004,1st,601.2,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
Nine Mile Point Site,Site Meteorological Tower,2008,2nd,17.1,mrem/quarter,
Indian Point, Broadway & Bleakly,2009,1st,22.1,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2004,1st,15.7,mrem/quarter,
Ginna Station,Parking Lot,1998,2nd,11.2,mrem/quarter,
Indian Point, NYU Tower,2006,3rd,20.2,mrem/quarter,
Ginna Station,Webster Sub-Station,2007,1st,10.7,mrem/quarter,
Ginna Station,Parking Lot,2014,1st,13,mrem/quarter,
Ginna Station,Webster Sub-Station,1995,1st,15,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2010,3rd,25,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2002,2nd,12,mrem/quarter,
Ginna Station,Training Center,1998,3rd,17.8,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2006,1st,18,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,1999,3rd,12.5,mrem/quarter,
Ginna Station,Parking Lot,2012,3rd,17,mrem/quarter,
"Shoreham, Suffolk County",Danby Reservoir,1995,3rd,13.4,mrem/quarter,
Ginna Station,Webster Sub-Station,1997,1st,13.5,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2001,2nd,8.5,mrem/quarter,
Indian Point, Factory St. Sub-Station,2000,2nd,,mrem/quarter,sample missing
Indian Point, Factory St. Sub-Station,2014,3rd,,mrem/quarter,
West Valley Site,Springville- Erie County,2001,1st,13.8,mrem/quarter,
West Valley Site,Rock Spring Road,1999,3rd,19.2,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Laurel Ridge,1995,3rd,15.4,mrem/quarter,
Ginna Station,Training Center,1999,1st,14,mrem/quarter,
Indian Point, Broadway & Bleakly,2009,2nd,17.8,mrem/quarter,
Indian Point, Broadway & Bleakly,2000,4th,10.8,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2008,4th,22.1,mrem/quarter,
Indian Point, Factory St. Sub-Station,2009,4th,,mrem/quarter,sample missing
West Valley Site,Rock Spring Road,2012,2nd,17,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,1998,4th,16.1,mrem/quarter,
Ginna Station,Parking Lot,2000,1st,17,mrem/quarter,
Ginna Station,Training Center,2002,1st,14.4,mrem/quarter,
"Shoreham, Suffolk County",Danby Reservoir,1995,2nd,12.7,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,1996,3rd,12.8,mrem/quarter,
Ginna Station,Webster Sub-Station,2010,1st,20,mrem/quarter,
Ginna Station,Training Center,2009,1st,19.9,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2004,3rd,17.5,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,1998,4th,16.4,mrem/quarter,
Ginna Station,Webster Sub-Station,1995,3rd,12.1,mrem/quarter,
Indian Point, Broadway & Bleakly,2002,4th,13.9,mrem/quarter,
West Valley Site,Rock Spring Road,1995,2nd,16.3,mrem/quarter,
West Valley Site,Fox Valley Road,2010,3rd,26,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2009,4th,22,mrem/quarter,
Background,Capital District,1995,1st,15.9,mrem/quarter,
Background,Capital District,2007,1st,26.4,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2004,2nd,18.7,mrem/quarter,discontinued use of in-house system; more sensitive devices in use from commercial vendor
Background,Capital District,2014,4th,12,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2002,2nd,15.6,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,1996,1st,13,mrem/quarter,
West Valley Site,Thomas Corner Road,2006,2nd,26.1,mrem/quarter,
West Valley Site,Thomas Corner Road,2011,4th,27,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,1995,1st,14.1,mrem/quarter,
Ginna Station,Webster Sub-Station,1998,2nd,11,mrem/quarter,
West Valley Site,Thomas Corner Road,2006,4th,,mrem/quarter,Sample missing
Nine Mile Point Site,Lakeview Road,2004,4th,18.6,mrem/quarter,
West Valley Site,Fox Valley Road,2012,4th,,mrem/quarter,Sampling discontinued after 2nd quarter 2012
West Valley Site,Dutch Hill Road,1999,2nd,18.9,mrem/quarter,
West Valley Site,Fox Valley Road,2009,4th,20,mrem/quarter,
Indian Point, Broadway & Bleakly,1998,4th,16.5,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2001,4th,13.4,mrem/quarter,
West Valley Site,Rock Spring Road,1998,2nd,,mrem/quarter,Sample missing
West Valley Site,Rock Spring Road,1996,4th,18.8,mrem/quarter,
Indian Point, Factory St. Sub-Station,2006,3rd,,mrem/quarter,sample missing
Nine Mile Point Site,County Route 29 and 1A,2012,2nd,15,mrem/quarter,
West Valley Site,Dutch Hill Road,2010,1st,25,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,1996,3rd,12.4,mrem/quarter,
West Valley Site,Fox Valley Road,1995,1st,13.9,mrem/quarter,
Indian Point, Factory St. Sub-Station,2014,4th,11,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,1998,3rd,12.5,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2009,4th,21,mrem/quarter,
Background,Capital District,2000,1st,17.6,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,1995,1st,14.4,mrem/quarter,
Indian Point, NYU Tower,2011,1st,33,mrem/quarter,
Indian Point, Factory St. Sub-Station,2011,4th,25,mrem/quarter,
Indian Point, Broadway & Bleakly,1995,4th,13.8,mrem/quarter,
"Shoreham, Suffolk County",Randell Road,1995,4th,11.9,mrem/quarter,monitoring discontinued at end of 1995
West Valley Site,Dutch Hill & Schrartz Road,1996,4th,16.5,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2011,2nd,16,mrem/quarter,change in TLD vendor; midway through quarter
Ginna Station,Webster Sub-Station,2005,3rd,15.6,mrem/quarter,
West Valley Site,Heinz Road,2012,4th,,mrem/quarter,Sampling discontinued after 2nd quarter 2012
Nine Mile Point Site,Lakeview Road,2004,2nd,16.3,mrem/quarter,discontinued use of in-house system; more sensitive devices in use from commercial vendor
West Valley Site,Rock Spring Road,2005,4th,27.9,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2005,1st,16.4,mrem/quarter,
Ginna Station,Parking Lot,2009,4th,18,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2003,2nd,10.6,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2010,3rd,,mrem/quarter,Damaged
West Valley Site,Dutch Hill & Schrartz Road,2004,3rd,28.1,mrem/quarter,
Nine Mile Point Site,Lakeview Road,1995,2nd,11.1,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,1998,2nd,13.2,mrem/quarter,
West Valley Site,Fox Valley Road,2008,4th,25.2,mrem/quarter,
Ginna Station,Webster Sub-Station,2010,3rd,20,mrem/quarter,
Ginna Station,Training Center,2002,3rd,12.4,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2009,2nd,572.1,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
Indian Point, Broadway & Bleakly,2000,1st,15.2,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2002,1st,13,mrem/quarter,
Ginna Station,Parking Lot,2013,2nd,26,mrem/quarter,NOTE: due to transition with TLD service first quarter deployment period extend through second quarter and into third quarter.
Ginna Station,Webster Sub-Station,2009,2nd,14.8,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,1997,3rd,14,mrem/quarter,
West Valley Site,Heinz Road,2008,2nd,27.6,mrem/quarter,
West Valley Site,Fox Valley Road,2002,2nd,13.5,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,1995,1st,14.4,mrem/quarter,
West Valley Site,Thomas Corner Road,1996,2nd,14.3,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2009,3rd,909,mrem/quarter,Change in TLD vendor. Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Rock Spring Road,1996,2nd,17.3,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2011,1st,25,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2007,2nd,631.2,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Dutch Hill Road,1995,4th,13.6,mrem/quarter,
